PicoQuant FluoFit 4.6.5.0
Saved : 9/23/2014 12:39:33 PM

Model: Exp. [Reconv.] (Exponential)
Plotted Data Set #18 Decay: "\..\export for fluofit.dat" (19)
Plotted Data Set #18 IRF: "\..\IRF 20140118.phd" (1)
X²(reduced): 0.2615 ; Fitted Data Points: 917

Data Set #18
     Decay                 IRF                   Model Decay           Residuals
     t[ns]     Intens.     t[ns]     Intens.     t[ns]     Intens.     t[ns]       diff.
    0.7120         61    0.7580        836    0.7120     58.905    0.7120      0.264
    0.7160         54    0.7620        759    0.7160     57.224    0.7160     -0.431
    0.7200         48    0.7660        788    0.7200     55.623    0.7200     -1.078
    0.7240         45    0.7700        788    0.7240     54.120    0.7240     -1.330
    0.7280         54    0.7740        732    0.7280     52.697    0.7280      0.174
    0.7320         46    0.7780        717    0.7320     51.254    0.7320     -0.758
    0.7360         53    0.7820        678    0.7360     49.874    0.7360      0.422
    0.7400         40    0.7860        749    0.7400     48.604    0.7400     -1.328
    0.7440         45    0.7900        651    0.7440     47.381    0.7440     -0.347
    0.7480         39    0.7940        674    0.7480     46.218    0.7480     -1.127
    0.7520         49    0.7980        680    0.7520     45.096    0.7520      0.547
    0.7560         52    0.8020        646    0.7560     44.018    0.7560      1.086
    0.7600         38    0.8060        610    0.7600     42.985    0.7600     -0.788
    0.7640         38    0.8100        633    0.7640     41.971    0.7640     -0.628
    0.7680         51    0.8140        666    0.7680     41.040    0.7680      1.368
    0.7720         35    0.8180        619    0.7720     40.134    0.7720     -0.844
    0.7760         45    0.8220        636    0.7760     39.231    0.7760      0.841
    0.7800         46    0.8260        577    0.7800     38.349    0.7800      1.104
    0.7840         49    0.8300        557    0.7840     37.527    0.7840      1.607
    0.7880         30    0.8340        569    0.7880     36.753    0.7880     -1.194
    0.7920         39    0.8380        533    0.7920     35.962    0.7920      0.474
    0.7960         49    0.8420        546    0.7960     35.237    0.7960      1.927
    0.8000         38    0.8460        579    0.8000     34.539    0.8000      0.547
    0.8040         27    0.8500        548    0.8040     33.835    0.8040     -1.269
    0.8080         21    0.8540        535    0.8080     33.155    0.8080     -2.534
    0.8120         33    0.8580        462    0.8120     32.548    0.8120      0.076
    0.8160         34    0.8620        499    0.8160     31.973    0.8160      0.338
    0.8200         34    0.8660        502    0.8200     31.403    0.8200      0.433
    0.8240         33    0.8700        474    0.8240     30.845    0.8240      0.364
    0.8280         28    0.8740        484    0.8280     30.262    0.8280     -0.413
    0.8320         27    0.8780        446    0.8320     29.701    0.8320     -0.502
    0.8360         32    0.8820        439    0.8360     29.160    0.8360      0.487
    0.8400         28    0.8860        473    0.8400     28.627    0.8400     -0.115
    0.8440         30    0.8900        433    0.8440     28.149    0.8440      0.327
    0.8480         39    0.8940        419    0.8480     27.704    0.8480      1.764
    0.8520         30    0.8980        445    0.8520     27.251    0.8520      0.486
    0.8560         27    0.9020        414    0.8560     26.773    0.8560      0.042
    0.8600         31    0.9060        402    0.8600     26.283    0.8600      0.821
    0.8640         21    0.9100        412    0.8640     25.848    0.8640     -1.011
    0.8680         22    0.9140        387    0.8680     25.422    0.8680     -0.698
    0.8720         18    0.9180        403    0.8720     25.001    0.8720     -1.565
    0.8760         19    0.9220        396    0.8760     24.588    0.8760     -1.219
    0.8800         26    0.9260        381    0.8800     24.163    0.8800      0.347
    0.8840         33    0.9300        402    0.8840     23.772    0.8840      1.560
    0.8880         20    0.9340        369    0.8880     23.404    0.8880     -0.726
    0.8920         21    0.9380        356    0.8920     23.015    0.8920     -0.420
    0.8960         21    0.9420        333    0.8960     22.649    0.8960     -0.344
    0.9000         25    0.9460        323    0.9000     22.303    0.9000      0.519
    0.9040         27    0.9500        301    0.9040     21.944    0.9040      0.939
    0.9080         19    0.9540        348    0.9080     21.598    0.9080     -0.567
    0.9120         18    0.9580        342    0.9120     21.262    0.9120     -0.729
    0.9160         25    0.9620        292    0.9160     20.931    0.9160      0.783
    0.9200         22    0.9660        311    0.9200     20.624    0.9200      0.281
    0.9240         17    0.9700        305    0.9240     20.318    0.9240     -0.761
    0.9280         29    0.9740        307    0.9280     20.025    0.9280      1.612
    0.9320         15    0.9780        286    0.9320     19.743    0.9320     -1.150
    0.9360         23    0.9820        237    0.9360     19.442    0.9360      0.712
    0.9400         24    0.9860        304    0.9400     19.132    0.9400      0.955
    0.9440         16    0.9900        312    0.9440     18.814    0.9440     -0.663
    0.9480         19    0.9940        272    0.9480     18.492    0.9480      0.111
    0.9520         21    0.9980        266    0.9520     18.192    0.9520      0.585
    0.9560         22    1.0020        284    0.9560     17.939    0.9560      0.829
    0.9600         12    1.0060        272    0.9600     17.665    0.9600     -1.514
    0.9640         21    1.0100        245    0.9640     17.375    0.9640      0.756
    0.9680         14    1.0140        274    0.9680     17.110    0.9680     -0.777
    0.9720         13    1.0180        249    0.9720     16.852    0.9720     -0.995
    0.9760         14    1.0220        215    0.9760     16.596    0.9760     -0.649
    0.9800         14    1.0260        232    0.9800     16.310    0.9800     -0.577
    0.9840         18    1.0300        243    0.9840     16.035    0.9840      0.439
    0.9880         21    1.0340        247    0.9880     15.827    0.9880      1.079
    0.9920         14    1.0380        233    0.9920     15.612    0.9920     -0.403
