PicoQuant FluoFit 4.6.5.0
Saved : 2/3/2015 4:29:39 PM

Model: Exp. [Reconv.] (Exponential)
Plotted Data Set #73 Decay: "\..\Decay histograms for intensity levels.txt" (77)
Plotted Data Set #73 IRF: "\..\IRF 20140118.phd" (1)
X²(reduced): 0.4116 ; Fitted Data Points: 3168

Data Set #73
     Decay                 IRF                   Model Decay           Residuals
     t[ns]     Intens.     t[ns]     Intens.     t[ns]     Intens.     t[ns]       diff.
    1.3280         20    1.4170         62    1.3280     21.625    1.3280     -0.347
    1.3320         22    1.4210         63    1.3320     21.600    1.3320      0.082
    1.3360         20    1.4250         47    1.3360     21.570    1.3360     -0.335
    1.3400         24    1.4290         56    1.3400     21.541    1.3400      0.482
    1.3440         20    1.4330         67    1.3440     21.514    1.3440     -0.323
    1.3480         26    1.4370         51    1.3480     21.484    1.3480      0.853
    1.3520         27    1.4410         48    1.3520     21.456    1.3520      1.030
    1.3560         14    1.4450         43    1.3560     21.428    1.3560     -1.857
    1.3600         22    1.4490         38    1.3600     21.400    1.3600      0.123
    1.3640         18    1.4530         46    1.3640     21.372    1.3640     -0.754
    1.3680         22    1.4570         58    1.3680     21.345    1.3680      0.134
    1.3720         20    1.4610         40    1.3720     21.318    1.3720     -0.281
    1.3760         29    1.4650         53    1.3760     21.288    1.3760      1.385
    1.3800         18    1.4690         47    1.3800     21.257    1.3800     -0.728
    1.3840         24    1.4730         56    1.3840     21.227    1.3840      0.544
    1.3880         17    1.4770         43    1.3880     21.198    1.3880     -0.963
    1.3920         17    1.4810         42    1.3920     21.167    1.3920     -0.956
    1.3960         28    1.4850         53    1.3960     21.135    1.3960      1.253
    1.4000         29    1.4890         45    1.4000     21.105    1.4000      1.418
    1.4040         21    1.4930         48    1.4040     21.077    1.4040     -0.016
    1.4080         19    1.4970         45    1.4080     21.048    1.4080     -0.447
    1.4120         18    1.5010         43    1.4120     21.017    1.4120     -0.675
    1.4160         17    1.5050         31    1.4160     20.987    1.4160     -0.915
    1.4200         19    1.5090         51    1.4200     20.957    1.4200     -0.427
    1.4240         19    1.5130         35    1.4240     20.926    1.4240     -0.420
    1.4280         16    1.5170         40    1.4280     20.895    1.4280     -1.154
    1.4320         19    1.5210         55    1.4320     20.866    1.4320     -0.407
    1.4360         17    1.5250         40    1.4360     20.835    1.4360     -0.880
    1.4400         22    1.5290         40    1.4400     20.803    1.4400      0.244
    1.4440         24    1.5330         26    1.4440     20.771    1.4440      0.633
    1.4480         21    1.5370         46    1.4480     20.738    1.4480      0.055
    1.4520         19    1.5410         34    1.4520     20.706    1.4520     -0.372
    1.4560         21    1.5450         31    1.4560     20.676    1.4560      0.068
    1.4600         15    1.5490         33    1.4600     20.643    1.4600     -1.369
    1.4640         19    1.5530         42    1.4640     20.613    1.4640     -0.352
    1.4680         21    1.5570         45    1.4680     20.582    1.4680      0.087
    1.4720         13    1.5610         30    1.4720     20.552    1.4720     -1.950
    1.4760         18    1.5650         42    1.4760     20.520    1.4760     -0.564
    1.4800         18    1.5690         27    1.4800     20.488    1.4800     -0.556
    1.4840         11    1.5730         32    1.4840     20.458    1.4840     -2.623
    1.4880         22    1.5770         38    1.4880     20.427    1.4880      0.321
    1.4920         14    1.5810         37    1.4920     20.396    1.4920     -1.599
    1.4960         23    1.5850         41    1.4960     20.365    1.4960      0.527
    1.5000         17    1.5890         22    1.5000     20.334    1.5000     -0.765
    1.5040         11    1.5930         33    1.5040     20.301    1.5040     -2.579
    1.5080         19    1.5970         39    1.5080     20.270    1.5080     -0.277
    1.5120         18    1.6010         32    1.5120     20.238    1.5120     -0.500
    1.5160         17    1.6050         28    1.5160     20.206    1.5160     -0.736
    1.5200         23    1.6090         25    1.5200     20.177    1.5200      0.565
    1.5240         14    1.6130         34    1.5240     20.146    1.5240     -1.536
    1.5280         16    1.6170         23    1.5280     20.114    1.5280     -0.970
    1.5320         12    1.6210         26    1.5320     20.081    1.5320     -2.160
    1.5360         20    1.6250         28    1.5360     20.050    1.5360     -0.011
    1.5400         19    1.6290         26    1.5400     20.018    1.5400     -0.222
    1.5440         19    1.6330         26    1.5440     19.986    1.5440     -0.215
    1.5480         18    1.6370         17    1.5480     19.953    1.5480     -0.437
    1.5520         11    1.6410         20    1.5520     19.922    1.5520     -2.474
    1.5560         22    1.6450         23    1.5560     19.892    1.5560      0.430
    1.5600         26    1.6490         29    1.5600     19.860    1.5600      1.160
    1.5640         27    1.6530         31    1.5640     19.829    1.5640      1.332
